type	name	lat	long
3	国際ファッション専門職大学（東京キャンパス）	35.691571	139.697084
3	駒沢女子大学	35.627786	139.494274
3	亜細亜大学（武蔵野キャンパス）	35.704813	139.53518
3	桜美林大学（町田キャンパス）	35.581625	139.407508
3	国立音楽大学	35.732059	139.412714
3	国際基督教大学	35.687537	139.529551
3	白百合女子大学	35.668165	139.581102
3	成蹊大学	35.711582	139.573368
3	玉川大学	35.56705	139.468364
3	津田塾大学（小平キャンパス）	35.721522	139.466216
3	帝京大学（板橋キャンパス）	35.759275	139.714503
3	東京経済大学（国分寺キャンパス）	35.699779	139.490167
3	東京女子体育大学	35.688895	139.427906
3	東京神学大学	35.687993	139.534507
3	東京造形大学	35.615358	139.334875
3	桐朋学園大学（仙川キャンパス）	35.659017	139.585204
3	日本獣医生命科学大学	35.701774	139.547412
3	武蔵野大学（有明キャンパス）	35.630641	139.78663
3	武蔵野美術大学（鷹の台キャンパス）	35.72619	139.447649
3	明星大学（日野校）	35.644889	139.408481
3	和光大学	35.575005	139.473604
3	杏林大学（三鷹キャンパス）	35.67748	139.566503
3	創価大学	35.690812	139.326934
3	日本文化大学（八王子キャンパス）	35.634645	139.341793
3	東京工科大学（八王子キャンパス）	35.626303	139.33935
3	日本赤十字看護大学（広尾キャンパス）	35.653198	139.718911
3	恵泉女学園大学	35.608571	139.436114
3	多摩大学（多摩キャンパス）	35.630514	139.464281
3	東京純心大学	35.693434	139.334897
3	嘉悦大学	35.720754	139.515711
3	東京富士大学（髙田記念館）	35.7153367	139.6999574
3	LEC東京リーガルマインド大学院大学（本館）	35.699807	139.754825
3	デジタルハリウッド大学（駿河台キャンパス）	35.698564	139.766475
3	白梅学園大学	35.724436	139.451307
3	東京医療保健大学（五反田キャンパス）	35.631476	139.726413
3	東京聖栄大学	35.71795	139.856847
3	ビジネス・ブレークスルー大学（麹町校舎）	35.686058	139.737277
3	グロービス経営大学院大学（東京校）	35.685401	139.736882
3	文化ファッション大学院大学	35.684918	139.695032
3	大原大学院大学	35.6991283	139.7567172
3	東京未来大学	35.743399	139.816922
3	ハリウッド大学院大学	35.661384	139.730135
3	SBI大学院大学	35.664573	139.7395626
3	こども教育宝仙大学	35.699841	139.679171
3	東京有明医療大学	35.641901	139.79666
3	東京工芸大学（中野キャンパス）	35.6931607	139.6796368
3	産業能率大学（自由が丘キャンパス）	35.613518	139.661498
3	ヤマザキ動物看護大学（南大沢キャンパス）	35.610102	139.374448
3	東京医療学院大学	35.612223	139.429348
3	事業構想大学院大学（1号館）	35.665363	139.713655
3	社会構想大学院大学	35.712338	139.706532
3	帝京科学大学（千住キャンパス）	35.753639	139.789578
3	東京情報デザイン専門職大学	35.6959642	139.8523271
3	東京国際大学（池袋キャンパス）	35.7284138	139.7215601
3	東京経営大学	35.6987403	139.7555886
1	横浜国立大学	35.474654	139.588147
1	総合研究大学院大学（葉山キャンパス）	35.261095	139.608389
2	横浜市立大学（金沢八景キャンパス）	35.33385	139.618239
2	神奈川県立保健福祉大学（横須賀キャンパス）	35.273828	139.681169
2	川崎市立看護大学	35.535836	139.669779
3	星槎大学（箱根キャンパス）	35.268218	139.00699
3	神奈川大学（横浜キャンパス）	35.484183	139.620867
3	関東学院大学（横浜・金沢八景キャンパス）	35.323327	139.622889
3	鶴見大学	35.504954	139.672771
3	フェリス女学院大学（緑園キャンパス）	35.437147	139.650457
3	横浜商科大学（つるみキャンパス）	35.498552	139.659531
3	八洲学園大学	35.459121	139.622781
